player_id,player_name,position,eligible_positions,team_name,team_id,pro_team,wins,losses,perceived_value,perceived_value_adjusted,overall_rank,forecasted_value,perceived_normalized,forecasted_normalized,discount_premium,value_category,interpretation
4429205,Jordan Addison,RB/WR,"RB/WR, WR, WR/TE, FLEX, OP, FLEX, FLEX",,1,16,1,3,1559.0,1559.0,77.0,136.23557139833332,46.01534828807556,92.34493482676291,50.17014373944889,Undervalued,Severely undervalued - BUY
15818,Keenan Allen,RB/WR,"RB/WR, WR, WR/TE, FLEX, OP, FLEX, FLEX",,2,24,3,1,1997.0,1997.0,66.0,146.02911273166666,58.943329397874855,98.98331808355263,40.45124922148972,Undervalued,Severely undervalued - BUY
4429160,De'Von Achane,RB,"RB, RB/WR, FLEX, OP, FLEX, FLEX",,3,15,1,3,8991.6,8991.6,10.0,152.44063404555556,265.39551357733177,103.32925734005076,-156.84449923406504,Overvalued,Severely overvalued - SELL
4360438,Brandon Aiyuk,RB/WR,"RB/WR, WR, WR/TE, FLEX, OP, FLEX, FLEX",,3,25,1,3,233.0,233.0,146.0,160.66975684500002,6.877213695395514,108.9072264475039,93.6852549461348,Undervalued,Severely undervalued - BUY
4373626,Tyler Allgeier,RB,"RB, RB/WR, FLEX, OP, FLEX, FLEX",,4,1,2,2,308.4,308.4,144.0,102.00908335944446,9.10271546635183,69.14509960855177,86.83534260868139,Undervalued,Severely undervalued - BUY
3929630,Saquon Barkley,RB,"RB, RB/WR, FLEX, OP, FLEX, FLEX",,5,21,1,3,9960.0,9960.0,8.0,182.29762608055555,293.97874852420307,123.56730497544963,-137.90981650252127,Overvalued,Severely overvalued - SELL
16800,Davante Adams,RB/WR,"RB/WR, WR, WR/TE, FLEX, OP, FLEX, FLEX",,7,14,3,1,4246.0,4246.0,30.0,168.99937410055557,125.32467532467533,114.55331399058126,-9.402924244496063,Fair Value,Fair value
3918298,Josh Allen,TQB,"QB, OP, FLEX, FLEX",,8,2,3,1,5264.0,5264.0,15.0,226.47590529777776,155.37190082644628,153.51279038134732,-1.2110459594152851,Fair Value,Fair value
3116365,Mark Andrews,WR,"WR/TE, TE, FLEX, OP, FLEX, FLEX",,9,33,3,1,847.0000000000001,847.0000000000001,105.0,136.00785478944442,25.000000000000007,92.1905810468288,72.88226224835148,Undervalued,Severely undervalued - BUY
4883647,Elic Ayomanor,RB/WR,"RB/WR, WR, WR/TE, FLEX, OP, FLEX, FLEX",,11,10,2,2,474.0,474.0,129.0,64.12521668944446,13.99055489964581,43.46617329937108,67.81277522802257,Undervalued,Severely undervalued - BUY
